ko,en,ja,zh-TW,th,zh-CN,id,tl,ms,hi,vi,af,ak,sq,am,ar,hy,as,ay,az,bm,eu,be,bn,bho,bs,bg,ca,ceb,ny,co,hr,cs,da,dv,doi,nl,eo,et,ee,fi,fr,fy,gl,lg,ka,de,gom,el,gn,gu,ht,ha,haw,hmn,hu,is,ig,ilo,ga,it,kn,kk,km,rw,kri,ku,ckb,ky,lo,la,lv,ln,lt,lb,mk,mai,mg,ml,mt,mni-Mtei,mi,mr,lus,mn,my,ne,nso,no,or,om,ps,fa,pl,pt,pa,qu,ro,ru,sm,sa,gd,sr,st,sn,sd,si,sk,sl,so,es,su,sw,sv,tg,ta,tt,te,ti,ts,tr,tk,uk,ur,ug,uz,cy,xh,yi,yo,zu,he,jv
{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite},{@r_set_blackwhite}
{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title},{@user_title}
{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth},{@earth}
{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet},{@violet}
{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white},{@white}
{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell},{@diff_hell}
{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD},{@SKILL_VALUE_MOD}
{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard},{@mustard}
{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis},{@emphasis}
{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red},{@light_red}
{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME},{@SKILL_NAME}
{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange},{@orange}
{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count},{@count}
